product_name_c_1,product_name_c_2,name_similarity,seller_website_c_1,seller_website_c_2,url_similarity,description_c_1,description_c_2,description_similarity,product_category_c_1,product_category_c_2,category_similarity
cisco firepower 4100,cisco firepower 7000,90.0,,,,,,,threat detection and prevention,threat detection and prevention,100.0
cisco firepower 4100,cisco firepower 8000,90.0,,,,,,,threat detection and prevention,threat detection and prevention,100.0
cisco firepower 4100,cisco firepower 9300,90.0,,,,,,,threat detection and prevention,threat detection and prevention,100.0
cisco firepower 7000,cisco firepower 8000,95.0,,,,,,,threat detection and prevention,threat detection and prevention,100.0
cisco firepower 7000,cisco firepower 9300,90.0,,,,,,,threat detection and prevention,threat detection and prevention,100.0
cisco firepower 8000,cisco firepower 9300,90.0,,,,,,,threat detection and prevention,threat detection and prevention,100.0
cisco mds 9000,cisco mds 9100,92.85714285714286,,,,,,,networking hardware,networking hardware,100.0
cisco mds 9000,cisco mds 9200,92.85714285714286,,,,,,,networking hardware,networking hardware,100.0
cisco mds 9000,cisco mds 9500,92.85714285714286,,,,,,,networking hardware,networking hardware,100.0
cisco mds 9000,cisco mds 9700,92.85714285714286,,,,,,,networking hardware,networking hardware,100.0
cisco mds 9100,cisco mds 9200,92.85714285714286,,,,,,,networking hardware,networking hardware,100.0
cisco mds 9100,cisco mds 9500,92.85714285714286,,,,,,,networking hardware,networking hardware,100.0
cisco mds 9100,cisco mds 9700,92.85714285714286,,,,,,,networking hardware,networking hardware,100.0
cisco mds 9200,cisco mds 9500,92.85714285714286,,,,,,,networking hardware,networking hardware,100.0
cisco mds 9200,cisco mds 9700,92.85714285714286,,,,,,,networking hardware,networking hardware,100.0
cisco mds 9500,cisco mds 9700,92.85714285714286,,,,,,,networking hardware,networking hardware,100.0
cisco me 3600x,cisco me 3800x,92.85714285714286,,,,,,,networking hardware,networking hardware,100.0
cisco mx200,cisco mx300,90.9090909090909,,,,,,,unified communications,unified communications,100.0
cisco mxe 3500,cisco mxe 5600,92.85714285714286,,,,,,,networking hardware,networking hardware,100.0
cisco ncs 1000,cisco ncs 2000,92.85714285714286,,,,,,,networking hardware,networking hardware,100.0
cisco ncs 1000,cisco ncs 4000,92.85714285714286,,,,,,,networking hardware,networking hardware,100.0
cisco ncs 1000,cisco ncs 5500,85.71428571428572,,,,,,,networking hardware,networking hardware,100.0
cisco ncs 1000,cisco ncs 6000,92.85714285714286,,,,,,,networking hardware,networking hardware,100.0
cisco ncs 2000,cisco ncs 4000,92.85714285714286,,,,,,,networking hardware,networking hardware,100.0
cisco ncs 2000,cisco ncs 5500,85.71428571428572,,,,,,,networking hardware,networking hardware,100.0
cisco ncs 2000,cisco ncs 6000,92.85714285714286,,,,,,,networking hardware,networking hardware,100.0
cisco ncs 4000,cisco ncs 5500,85.71428571428572,,,,,,,networking hardware,networking hardware,100.0
cisco ncs 4000,cisco ncs 6000,92.85714285714286,,,,,,,networking hardware,networking hardware,100.0
cisco ncs 5500,cisco ncs 6000,85.71428571428572,,,,,,,networking hardware,networking hardware,100.0
cisco nexus 1000v,cisco nexus 2000,90.9090909090909,,,,,,,networking hardware,networking hardware,100.0
cisco nexus 1000v,cisco nexus 3000,90.9090909090909,,,,,,,networking hardware,networking hardware,100.0
cisco nexus 1000v,cisco nexus 4000,90.9090909090909,,,,,,,networking hardware,networking hardware,100.0
cisco nexus 1000v,cisco nexus 5000,90.9090909090909,,,,,,,networking hardware,networking hardware,100.0
cisco nexus 2000,cisco nexus 3000,93.75,,,,,,,networking hardware,networking hardware,100.0
cisco nexus 2000,cisco nexus 4000,93.75,,,,,,,networking hardware,networking hardware,100.0
cisco nexus 2000,cisco nexus 5000,93.75,,,,,,,networking hardware,networking hardware,100.0
cisco nexus 2000,cisco nexus 5010,87.5,,,,,,,networking hardware,networking hardware,100.0
cisco nexus 3000,cisco nexus 3550,87.5,,,,,,,networking hardware,networking hardware,100.0
cisco nexus 3000,cisco nexus 4000,93.75,,,,,,,networking hardware,networking hardware,100.0
cisco nexus 3000,cisco nexus 5000,93.75,,,,,,,networking hardware,networking hardware,100.0
cisco nexus 3000,cisco nexus 5010,87.5,,,,,,,networking hardware,networking hardware,100.0
cisco nexus 3000,cisco nexus 5020,87.5,,,,,,,networking hardware,networking hardware,100.0
cisco nexus 3550,cisco nexus 5000,87.5,,,,,,,networking hardware,networking hardware,100.0
cisco nexus 3550,cisco nexus 5010,87.5,,,,,,,networking hardware,networking hardware,100.0
cisco nexus 3550,cisco nexus 5020,87.5,,,,,,,networking hardware,networking hardware,100.0
cisco nexus 3550,cisco nexus 5548,87.5,,,,,,,networking hardware,networking hardware,100.0
cisco nexus 4000,cisco nexus 5000,93.75,,,,,,,networking hardware,networking hardware,100.0
cisco nexus 4000,cisco nexus 5010,87.5,,,,,,,networking hardware,networking hardware,100.0
cisco nexus 4000,cisco nexus 5020,87.5,,,,,,,networking hardware,networking hardware,100.0
cisco nexus 4000,cisco nexus 6000,93.75,,,,,,,networking hardware,networking hardware,100.0
cisco nexus 5000,cisco nexus 5010,93.75,,,,,,,networking hardware,networking hardware,100.0
cisco nexus 5000,cisco nexus 5020,93.75,,,,,,,networking hardware,networking hardware,100.0
cisco nexus 5000,cisco nexus 6000,93.75,,,,,,,networking hardware,networking hardware,100.0
cisco nexus 5000,cisco nexus 7000,93.75,,,,,,,networking hardware,networking hardware,100.0
cisco nexus 5010,cisco nexus 5020,93.75,,,,,,,networking hardware,networking hardware,100.0
cisco nexus 5010,cisco nexus 6000,87.5,,,,,,,networking hardware,networking hardware,100.0
cisco nexus 5010,cisco nexus 7000,87.5,,,,,,,networking hardware,networking hardware,100.0
cisco nexus 5010,cisco nexus 7700,87.5,,,,,,,networking hardware,networking hardware,100.0
cisco nexus 5020,cisco nexus 6000,87.5,,,,,,,networking hardware,networking hardware,100.0
cisco nexus 5020,cisco nexus 7000,87.5,,,,,,,networking hardware,networking hardware,100.0
cisco nexus 5020,cisco nexus 7700,87.5,,,,,,,networking hardware,networking hardware,100.0
cisco nexus 5020,cisco nexus 9000,87.5,,,,,,,networking hardware,networking hardware,100.0
cisco nexus 6000,cisco nexus 7000,93.75,,,,,,,networking hardware,networking hardware,100.0
cisco nexus 6000,cisco nexus 7700,87.5,,,,,,,networking hardware,networking hardware,100.0
cisco nexus 6000,cisco nexus 9000,93.75,,,,,,,networking hardware,networking hardware,100.0
cisco nexus 6000,cisco nexus 9300,87.5,,,,,,,networking hardware,networking hardware,100.0
cisco nexus 7000,cisco nexus 7700,93.75,,,,,,,networking hardware,networking hardware,100.0
cisco nexus 7000,cisco nexus 9000,93.75,,,,,,,networking hardware,networking hardware,100.0
cisco nexus 7000,cisco nexus 9300,87.5,,,,,,,networking hardware,networking hardware,100.0
cisco nexus 7000,cisco nexus 9500,87.5,,,,,,,networking hardware,networking hardware,100.0
cisco nexus 7700,cisco nexus 9000,87.5,,,,,,,networking hardware,networking hardware,100.0
cisco nexus 7700,cisco nexus 9300,87.5,,,,,,,networking hardware,networking hardware,100.0
cisco nexus 7700,cisco nexus 9500,87.5,,,,,,,networking hardware,networking hardware,100.0
cisco nexus 9000,cisco nexus 9300,93.75,,,,,,,networking hardware,networking hardware,100.0
cisco nexus 9000,cisco nexus 9500,93.75,,,,,,,networking hardware,networking hardware,100.0
cisco nexus 9000,cisco nexus 9504,87.5,,,,,,,networking hardware,networking hardware,100.0
cisco nexus 9000,cisco nexus 9508,87.5,,,,,,,networking hardware,networking hardware,100.0
cisco nexus 9300,cisco nexus 9332,87.5,,,,,,,networking hardware,networking hardware,100.0
cisco nexus 9300,cisco nexus 9500,93.75,,,,,,,networking hardware,networking hardware,100.0
cisco nexus 9300,cisco nexus 9504,87.5,,,,,,,networking hardware,networking hardware,100.0
cisco nexus 9300,cisco nexus 9508,87.5,,,,,,,networking hardware,networking hardware,100.0
cisco nexus 9500,cisco nexus 9504,93.75,,,,,,,networking hardware,networking hardware,100.0
cisco nexus 9500,cisco nexus 9508,93.75,,,,,,,networking hardware,networking hardware,100.0
cisco nexus 9504,cisco nexus 9508,93.75,,,,,,,networking hardware,networking hardware,100.0
cisco ons 15216,cisco ons 15327,86.66666666666667,,,,,,,networking hardware,networking hardware,100.0
cisco ons 15216,cisco ons 15600,86.66666666666667,,,,,,,networking hardware,networking hardware,100.0
cisco ons 15327,cisco ons 15530,86.66666666666667,,,,,,,networking hardware,networking hardware,100.0
cisco ons 15454,cisco ons 15530,86.66666666666667,,,,,,,networking hardware,networking hardware,100.0
cisco ons 15530,cisco ons 15600,86.66666666666667,,,,,,,networking hardware,networking hardware,100.0
cisco vedge 100,cisco vedge 1000,96.7741935483871,,,,,,,networking hardware,networking hardware,100.0
clarity apm,clarity ca,85.71428571428572,,,,,,,it asset management,project portfolio management,42.553191489361694
clarity ca,clarity cca,95.23809523809523,,,,,,,project portfolio management,configuration management,38.46153846153846
clarity kyc,clarity sc,85.71428571428572,opus.com,,,"clarity kyc integrates business entity identification, screening and due diligence, reporting and monitoring into a single intuitive solution to accelerate compliance with know your customers / anti-money laundering (kyc/aml) requirements.",,,anti-money laundering software,it management,32.55813953488372
clarity ppm,clarity sm,85.71428571428572,,,,,,,project portfolio management,it service management,57.14285714285714
clarity sc,clarity sm,90.0,,,,,,,it management,it service management,76.47058823529412
clarity sc,clarity stack,86.95652173913044,,claritystack.com,,,"clarity stack is a b2b sales intelligence and enablement platform that allows organisations to sell better. the ai-powered business search engine is packed full of contact information, buying signals, tenders, ready-to-buy leads and more, making prospecting simple. hundreds of businesses around the world and across all industries use clarity stack to fill their sales pipelines, close more deals and boost their revenue.",,it management,sales intelligence software,30.000000000000004
clearci,clearco,85.71428571428572,,clear.co,,,clearco is a lending firm led by michele romanow and andrew d'souza that specializes in non-dilutive revenue-share agreements with start-ups.,,competitive intelligence,financial services software,27.450980392156865
cleargage,cleargate,88.88888888888889,cleargage.com,,,cleargage's suite of industry leading products provide unparalleled features and functionality designed specifically to optimize your revenue cycle strategies.,,,health care software,payments processing,30.76923076923077
clearify,clearity,87.5,,clearity.io,,,"we are a security compliance management application that provides covered entities, business associates and their partners the ability to measure their security program by conducting self-assessments, manage corrective action plans, creating tasks, and work towards industry driven compliance, while viewing real-time data on our dashboard. we current offer hipaa, hipaa (ba), csc, or nist 800-53, nist csf security assessments.",,analytics,health care software,34.48275862068966
clearly rated,clearlyrated,96.0,,clearlyrated.com,,,clearlyrated is the only satisfaction survey program designed specifically to enhance your firm's reputation and help you stand out from the competition.,,other b2b software,experience management software,45.833333333333336
cleversafe,cleverstaff,85.71428571428572,,cleverstaff.net,,,cleverstaff is a all-in-one software for applicant tracking and recruitment automation.,,storage infrastructure,recruiting software,43.90243902439024
click & pledge,click and pledge,86.66666666666667,clickandpledge.com,,,"free solutions for non-profits to accept online donations including fundraising tools, mobile and donor and event management for salesforce.",,,nonprofit software,fundraising and donation management,33.9622641509434
clickback,clickbank,88.88888888888889,,clickbank.com,,,"clickbank is an online marketplace for digital information products, connecting digital content creators with affiliate marketers.",,lead capture,affiliate marketing software,30.000000000000004
clickclaims,clickclass,85.71428571428572,,clickclass.co.uk,,,clickclass is a hosted cloud e-learning service where you can upload and publish courses based on your powerpointslides in a matter of seconds. the interface is extremely easy to use but also adds enormous value to your course with a powerful feature set at your fingertips.,,insurance administration and management,talent management software,43.07692307692308
clickinc,clickiny,87.5,,clickiny.com,,,"clickiny is a software solution that provides businesses with a customizable whatsapp chat widget for their websites. this widget enables organizations to connect with their customers directly through whatsapp, supporting features like multiple chat agents, customizable availability schedules, and a powerful editor to match the widget's design to the business’s brand identity. it aims to enhance customer engagement and streamline communication.",,affiliate marketing,online form builder software,34.04255319148937
clientflow,clientflowx,95.23809523809523,clientflow.com,clientflowx.com,96.55172413793103,"organize, track, and standardize client communication and approvals.",clientflowx is an all in one sales and marketing crm.,49.586776859504134,shared inbox software,crm software,60.60606060606061
clienttether,clienttether.com,85.71428571428572,,clienttether.com,,,connect with & convert new leads instantly via phone/text/email. then create lasting relationships with our automated retention program!,,sales operations management,crm software,30.76923076923077
clinsoft,cliosoft,87.5,innovate-research.com,,,"21 cfr part 11 compliant, web-enabled eclinical suite with integrated clinical trial management.",,,life sciences software,it infrastructure services,37.5
cloodon,cloodot,85.71428571428572,,cloodot.com,,"cloodon is a super-flexible, cloud-based learning management system to train your students, employees, customers or partners.","customer experience management suite to manage chats and reviews from multiple online channels in one inbox. manage chats and reviews from multiple google my business listings, facebook pages, whatsapp numbers, google business messages listings, websites etc in one easy to use inbox. work together as a team - distribute and assign channels to one or more users, handover chats and reviews between users and departments in a second. multiple agents can collaborate and manage channels like whatsapp, google messages etc which is not possible using original native apps. life saver for customer relations agents - easy and efficient customer management using custom template replies, reminders, tags, tasks, notes etc. secure, tension free - provision for customer relations agents to manage chats and reviews on all modern channels without giving them direct access to original platforms. intelligence and accountability - advanced analytics tools for wholistic insights to all your channels' and your employees' performance.",17.897480451781057,learning management systems,online reputation management software,43.75
closer,closeriq,85.71428571428572,closer.app,,,"closer is a conversational sales platform with rich media communication (text, audio, video), cross-device continuity, and ai-augmented conversations.",,,conversational marketing software,job board,23.809523809523814
cloudapp,cloudapps,94.11764705882352,getcloudapp.com,,,"provider of enterprise file sharing and screen grab technology. it's used by designers, builders, thought-leaders, and influencers to collaborate faster.",,,enterprise data storage,other crm and sales,42.85714285714286
cloudbees,cloudbees cd,85.71428571428572,cloudbees.com,,,"enables organizations to build, test and deploy applications to production, utilizing continuous delivery practices. they are focused solely on jenkins as a tool for continuous delivery both on-premises and in the cloud.",,,platform-as-a-service (paas),devops services,46.51162790697675
cloudbees,cloudbees ci,85.71428571428572,cloudbees.com,,,"enables organizations to build, test and deploy applications to production, utilizing continuous delivery practices. they are focused solely on jenkins as a tool for continuous delivery both on-premises and in the cloud.",,,platform-as-a-service (paas),continuous integration and delivery,28.57142857142857
cloudbees cd,cloudbees ci,91.66666666666666,,,,,,,devops services,continuous integration and delivery,31.999999999999996
cloudbookings,cloudbooks,86.95652173913044,cloudbookings.net,,,an intelligent and dynamic booking engine that will digitize and transform how agents conduct their travel business.,,,hospitality software,billing and invoicing,24.390243902439025
cloudbooks,cloudboost,90.0,,cloudboost.io,,,"cloudboost.io is a database service for the “next web” - that not only does data-storage, but also search, real-time and a whole lot more which enables developers to build much richer apps with 50% less time saving them a ton of cost and helping them go to market much faster.",,billing and invoicing,backend-as-a-service,29.268292682926834
cloudera enterprise,cloudera enterprise bdr,90.47619047619048,cloudera.com/content/cloudera/en/products-and-services/cloudera-enterprise.html,,,"cloudera enterprise includes cdh, the world’s most popular open source hadoop-based platform, as well as advanced system management and data management tools plus dedicated support and community advocacy from our world-class team of hadoop developers and experts.",,,big data,backup and recovery,14.814814814814813
cloudfactory,cloudfactoryworx,85.71428571428572,,cloudfactoryworx.com,,,the cloudfactorworx platform features are offered on all of the offered deployment plans.,,freelance marketplace,manufacturing execution system (mes) software,33.333333333333336
cloudfiler,cloudfinder,85.71428571428572,cloudfiler.io,,,cloudfiler is an email filing and search tool.,,,email management software,cloud access security broker,22.64150943396226
cloudfind,cloudfinder,90.0,cloudfindhq.com,,,"cloudfind helps enterprises find, share and organize their information in a completely new way.",,,public relations (pr) software,cloud access security broker,31.034482758620683
cloudmagic,cloudmargin,85.71428571428572,,cloudmargin.com/product,,,"headquartered in london, cloudmargin created the world's first cloud-based collateral management workflow tool, which has earned nearly 20 different industry awards since 2015 for innovation and best-in-class technology.",,email management,financial services software,32.55813953488372
cloudshare,cloudshark,90.0,cloudshare.com,,,"cloudshare’s business acceleration platform lets you orchestrate customized software experiences quickly, easily, and at scale, driving higher customer acquisition and retention. whether showcasing your product to a prospect or delivering hands-on training to customers or employees, cloudshare’s platform enables you to show the true value of your software, providing actionable insights that boost your roi and impact your company’s bottom line. to learn more, visit www.cloudshare.com.",,,presales software,threat detection and prevention,33.333333333333336
cloudsploit,cloudspoilt,90.9090909090909,,,,,,,cloud integration,devops services,31.25
clutch.co,clutch.com,94.73684210526316,clutch.co,,,"find top firms for your next big project. your data-driven field guide for b2b buying and hiring decisions. 27,000+ agencies in 500+ categories. explore top services and solutions across industries to find the right resource for your business.",,,b2b services review platforms,loyalty marketing,30.434782608695656
cocos2d,cocos2d-x,87.5,,cocos.com/en,,,cocos2d-x is an open-source game engine that helps its users develop their own mobile games.,,game development,game development software,78.04878048780488
codereadr,codered,87.5,codereadr.com,,,codereadr captures leads and track attendance with smartphones by scanning attendee badges.,,,event management software,emergency communications,32.6530612244898
colibri io,colibri seo,85.71428571428572,,,,,,,social media monitoring,seo and sem,35.29411764705882
coligo,coligos,92.3076923076923,,coligos.com,,"coligo — is a unified solution that combines a learning management system (lms) and a school management system (sms), it has all the tools your school needs to make learning and teaching easier and more engaging for everyone.",coligos consulting can provide client side project management for your software selection or implementation.,42.64264264264265,learning management systems,ukg marketplace software,31.372549019607842
collect!,collectd,87.5,collect.org,collectd.org,95.65217391304348,"the collect! cloud based hosted solution is all inclusive; the hardware, the applications, the environment, the backups and the maintenance are all taken care of for you. this substantially lowers the cost of getting started, allows you to pay for what you use in the cloud, and enables you to grow without having to reinvest in additional hardware or reconfigure systems that were not properly sized.","collectd gathers statistics about the system it is running on and stores this information. those statistics can then be used to find current performance bottlenecks (i.e. performance analysis) and predict future system load (i.e. capacity planning). or if you just want pretty graphs of your private server and are fed up with some homegrown solution you're at the right place, too.",51.59642401021711,accounting & finance software,network monitoring,51.06382978723405
commercehub,commerceup,85.71428571428572,,commerceup.io,,,commerceup is a powerful and flexible enterprise e-commerce platform. designed for businesses who want to scale their business quickly with scalable resources. integrated marketing tools will help your business to make your brands visible.,,other ecommerce,e-commerce software,76.47058823529412
communigate,communigator,86.95652173913044,,,,,,,cloud business telephony,marketing automation platforms,29.629629629629626
communigate,communiqate,90.9090909090909,,communiqate.nl,,,"bereik jouw klanten, patiënten, inwoners of studenten op de plek waar ze 't liefst zijn - hun telefoon! met de krachtige combinatie tussen communiqate en whatsapp business cloud verbeter je de ervaring en service, verhoog je de betrokkenheid en voer je effectievere marketingcampagnes rechtstreeks in whatsapp!",,cloud business telephony,whatsapp marketing software,27.450980392156865
comodo ssl,comodossl,94.73684210526316,,ssl.comodo.com,,,it is compatible with all popular browsers. designed with cutting-edge technology. trusted above many of the more expensive options on the market,,ssl certificate,perimeter security and firewalls,29.78723404255319
compas,compass,92.3076923076923,,onpeak.com,,,"compass is a web-based reservation system that can help manage hotel offerings, negotiating power and managing revenue with each booking.",,recruitment,hospitality software,19.354838709677423
compass lms,compass rms,90.9090909090909,,realtime-7.com,,"i want to… lead train sustain i am looking to complete more projects, more projects faster and projects with greater returns.",compass pos is a retail erp package that will provide real-time visibility into your retail operations.,45.614035087719294,learning management systems,retail software,33.333333333333336
compliance & ce,compliance &amp; ce,88.23529411764706,medialab.com,,,"compliance & ce is medialab’s all-inclusive course library and learning management system. this solution provides your employees or students with over 148 courses covering all major laboratory disciplines and ranging from basic to advanced. you can target all of your training needs with coursebuilder, our included functionality that allows you to customize our courses and build your own courses. you can easily assign courses to specific groups of employees or students and track and review their performance. 10-15 new courses are added every year and automatically included in your subscription. compliance & ce supports: • the cap gen.54200 requirement for an all-inclusive learning management system, • centralization of continuing education resources with over 148 p.a.c.e.-approved courses, • course customization for targeted training, • mass group assignments to respective admins and staff, • detailed score reports, dashboards, and automatic notifications to monitor progress, and more!","medialab's integrated solutions for policies &amp; procedures, inspections, poct competency assessment, and quality improvement are the tools you need to excel.",22.95081967213115,health care software,learning management systems,38.297872340425535
compliancequest,compliancequest qms,88.23529411764706,,compliancequest.com,,,"cq is a fully integrated quality, health, safety and environment solution suite (qhse = eqms + ehs). natively built on the salesforce.com platform it is not only 100% cloud based but packs powerful future readiness, security standards, performance and scalability.",,platform-as-a-service (paas),"environmental, quality and safety management software",27.160493827160494
component,component io,85.71428571428572,component.io,,,"component's philosophy is the unix philosophy of the web - to create a platform for small, reusable components that consist of js, css, html, images, fonts, etc. with its well-defined specs, using component means not worrying about most frontend problems such as package management, publishing components to a registry, or creating a custom build process for every single app.",,,programming framework,frontend framework,66.66666666666667
concentric,concentrix,90.0,concentric.ai,,,concentric’s semantic intelligence solution reveals the meaning in your unstructured data so you can fight off data loss and meet compliance and privacy mandates.,,,data governance tools,customer experience management,35.29411764705882
concentrix,concentrixcx,90.9090909090909,,concentrix.com,,,"the voice of the customer platform that helps turn customer experiences from “so-so” to spectacular. concentrix is the only cx company that takes one of the industry’s most advanced customer feedback platforms and combines it with experience management services tailored to you. let us help you learn from customers and employees, predict behavior and power actions that generate unwavering loyalty and financial growth.",,customer experience management,experience management software,70.0
confirm,confirmit,87.5,confirm.com,,,"the confirm platofrm has a full suite of tools for talent and performance management. our flagship tool is for performance reviews, complete with; manager ratings, self-reflections, peer 360s and our core differentiator, ona (organizational network analysis) surveys. to complement the performance review tool, we have an evergreen performance management software platform with tools for employee engagement, continuous feedback, okrs & goal setting, career development, and people analytics. confirm has a best-in-class user experience and has the #1 rated customer service of all performance platforms.",,,talent management software,social media monitoring,40.816326530612244
confirmit,confirmkit,94.73684210526316,,confirmkit.com,,,confirmkit is the modern user research platform that helps you and your team to talk to users in an approachable and efficient manner.,,social media monitoring,user research repositories,40.816326530612244
conjur,conjura,92.3076923076923,,conjura.com,,,conjura is a managed analytics solution provider for b2c e-commerce companies.,,infrastructure security,e-commerce software,28.57142857142857
connect4,connect6,87.5,connect4.app,,,"the client meeting software platform. where client relationships flourish. prepare, meet, act. progress client relationships all in one place with connect4's meeting pods for easy meeting prep, delivery, owner reporting and more. client centric firms know it's good to talk with clients - turn your business's online meetings with clients into actionable, connected opportunities to win more clients and grow recurring revenue.",,,video conferencing software,sales intelligence,40.0
connectif,connectifier,85.71428571428572,connectif.ai,,,"marketing automation platform that allows you to perform advanced segmentations, create multichannel workflows and personalise your users' experience based on their behaviour.",,,marketing automation software,social recruiting,43.47826086956522
connectifi,connectifier,90.9090909090909,connectifi.co,,,"we’re connectifi, a solution-agnostic platform that empowers you to create seamless integrations, fast. whether the apps are native, on-prem, or in the cloud connect them with our easy to use sdks and platform interface. you can easily work with clients to add connections from on-prem applications into the connectifi dashboard and deploy simply functionality, all while ensuring their data and security remains intact.",,,tools for erp software,social recruiting,35.89743589743589
constructionofficeonline,constructiononline,85.71428571428572,constructionofficeonline.com,,,constructionofficeonline provides preconfigured and formulated office templates and forms that are designed to match the similarity of forms commonly used in the construction industry.,,,construction software,construction management,68.18181818181819
contentdj,contentdm,88.88888888888889,,oclc.org,,,"contentdm is a service used by many different types of libraries, historical societies and museums that gives you the tools to build, showcase and preserve your digital collections. with contentdm, you increase the visibility of your digital collections with a website customized for your community that includes search engine optimization and the capability to share your metadata in worldcat and other repositories where people search for information.",,content marketing tools,digital asset management software,32.14285714285714
contentivo,contento,88.88888888888889,,contento.io,,,contento is a headless cms designed with the needs of marketers first and foremost. it is primarily for b2b saas companies who want to build fast websites with a beautiful ui.,,social marketing,headless cms software,37.83783783783784
contento,contentop,94.11764705882352,contento.io,,,contento is a headless cms designed with the needs of marketers first and foremost. it is primarily for b2b saas companies who want to build fast websites with a beautiful ui.,,,headless cms software,copywriting and content writing services,26.22950819672131
contentoo,contentools,90.0,contentoo.com,,,"contentoo started in 2017 as the platform that links the top 10% of content creators with marketing departments at (international) companies. today, our freelance community includes content marketing strategists, seo specialists, growth marketers and other freelancers who can help you with your content marketing through our platform.",,,freelance platforms,content marketing tools,33.333333333333336
contentoo,contentop,88.88888888888889,contentoo.com,,,"contentoo started in 2017 as the platform that links the top 10% of content creators with marketing departments at (international) companies. today, our freelance community includes content marketing strategists, seo specialists, growth marketers and other freelancers who can help you with your content marketing through our platform.",,,freelance platforms,copywriting and content writing services,30.508474576271183
contentrain,contentraven,86.95652173913044,contentrain.io,,,"contentrain is the best headless cms platform that simplifies content creation and publishing. harness the power of git architecture and the scalability of serverless platforms to streamline content management and collaboration on various digital platforms for developers and content creators. with the git version control system, collaboration is streamlined, while the integration of serverless platforms ensures real-time updates and scalability. contentrain is the best solution for markdown based content rich websites and also serves as a versatile solution for different use cases; - document-driven web projects - internal or external api documentation - api references - product overviews - engaging marketing campaign websites - modern startup landing pages - jamstack websites - multi language websites - rfp portals & knowledge bases - pwa's - e-commerce websites - blogs & publishing platforms - mobile application contents contentrain is forever free for any scale of open-source projects with large communities to manage their documentation content with collaboration. contentrain is compatible with any modern javascript framework with its flexible structure. if jamstack is your favorite way to build static websites, you can turn your static sites into dynamic websites with contentrain.",,,headless cms software,training and assessment,36.36363636363637
contiv,contivio,85.71428571428572,contiv.io,,,"it is a powerful, 100% open source networking solution for modern compute workloads. integration and support for vm’s and bare metal allow you to provide a single network fabric across your infrastructure.",,,containers and microservices,cloud contact center software,42.10526315789473
conversio,conversion,94.73684210526316,,useconversion.com,,,"conversion company aims to offer a wide range of e-commerce businesses such products as ""live courters,"" ""latest conversion,"" ""random user reviews,"" ""cookie notification,"" ""request collector,"" ""email collection,"" ""conversion counter,"" ""emoji and score feedback,"" and ""countdown collector."" with the help of these social proof, communication and customer feedback mechanisms, conversion helps the companies intelligently to collect user reviews, reconsider their business strategies, embrace an in-depth understanding of the customer-centric approach, and establish trust in brand.",,ecommerce marketing,conversion rate optimization tools,37.735849056603776
conversion,conversion.ai,86.95652173913044,useconversion.com,,,"conversion company aims to offer a wide range of e-commerce businesses such products as ""live courters,"" ""latest conversion,"" ""random user reviews,"" ""cookie notification,"" ""request collector,"" ""email collection,"" ""conversion counter,"" ""emoji and score feedback,"" and ""countdown collector."" with the help of these social proof, communication and customer feedback mechanisms, conversion helps the companies intelligently to collect user reviews, reconsider their business strategies, embrace an in-depth understanding of the customer-centric approach, and establish trust in brand.",,,conversion rate optimization tools,copywriting and content writing services,45.945945945945944
convertiger,convertigo,85.71428571428572,,convertigo.com,,,convertigo mbaas (mobile backend as a service) services and mobile app development ide.,,session recording and playback,application development software,35.483870967741936
convertiger,convertize,85.71428571428572,,convertize.com/ab-testing-software,,,"it is the conversion rate optimization and a/b testing platform that anyone can use to optimize web content and increase conversions. create different versions of your webpages in minutes. edit your text, images, and buttons without touching a line of code, then set your own goals by tracking button clicks or urls. it integrates with the tools you are already using in just a few clicks, so you can immediately increase conversions on wordpress, shopify, wix and more.",,session recording and playback,mobile a/b testing,41.666666666666664
convertr,convertri,94.11764705882352,convertr.io,,,convertr provides a customer acquisition management platform that generates improved roi & delivers qualified and enriched consumer data.,,,demand generation software,other ecommerce,39.02439024390244
convertr,convertro,94.11764705882352,convertr.io,,,convertr provides a customer acquisition management platform that generates improved roi & delivers qualified and enriched consumer data.,,,demand generation software,attribution tracking,39.13043478260869
convertri,convertro,88.88888888888889,,,,,,,other ecommerce,attribution tracking,22.857142857142854
convio,conviso,92.3076923076923,,convisoappsec.com,,,"conviso platform has got the whole security pipeline covered to empower developers to build secure applications. because security shouldn't be an isolated part of your development pipeline — it should be an ongoing, collaborative activity between all teams. conviso now presents five products within its platform to help you in this mission.",,fundraising and donation management,devsecops software,22.64150943396226
cookie script,cookiescript,96.0,,cookie-script.com,,,"cookiescript helps businesses comply with european cookie law and gdpr. it allows users to create their own cookie information popup, with no programming skills required.",,other security,consent management platforms,23.809523809523814
coursly,coursy,92.3076923076923,,coursy.io/overview,,"online education management platform for quick and easy building the courses, loved by teachers and students.","coursy provides medium to large companies with comprehensive cloud-based skills gap and compliancy management solution. customers use coursy platform to automate compliance management tasks, and train employees with new skills. admin portal and learner portal are at the core of coursy. the coursy admin portal is essential for managing the training process from one place. it provides functionality like training needs analysis, training design and planning, training outcome evaluation and core performance management functions. your workforce can develop their skills in a simple and convenient learning portal, regardless of time, location or device. our new marketplace platform helps companies to train their partners and clients for better business outcomes.",20.823798627002287,learning management systems,talent management software,52.83018867924528
